,path_id,County,Subcounty,Ward,Village
0,0.6512.12170.18672,Baringo,Baringo Central,Ewalel/chapchap,Unassigned
1,0.6512.12170.18671,Baringo,Baringo Central,Kabarnet,Unassigned
2,0.6512.12170.18669,Baringo,Baringo Central,Kapropita,Unassigned
3,0.6512.12170.18668,Baringo,Baringo Central,Sacho,Chepnes
4,0.6512.12170.18670,Baringo,Baringo Central,Tenges,Kapswai
5,0.6512.12170.54178,Baringo,Baringo Central,Ward Unassigned,Unassigned
6,0.6512.12157.58503,Baringo,Baringo North,Bartabwa,Chesem
7,0.6512.12157.60102,Baringo,Baringo North,Bartabwa,Kaibos
8,0.6512.12157.58502,Baringo,Baringo North,Bartabwa,Kamngoror
9,0.6512.12157.58501,Baringo,Baringo North,Bartabwa,Kaptilatil
10,0.6512.12157.17814,Baringo,Baringo North,Bartabwa,Unassigned
11,0.6512.12157.17809,Baringo,Baringo North,Barwessa,Unassigned
12,0.6512.12157.17808,Baringo,Baringo North,Kabartonjo,Unassigned
13,0.6512.12157.17811,Baringo,Baringo North,Saimo/kipsaram,Unassigned
14,0.6512.12157.17810,Baringo,Baringo North,Saimo/soi,Unassigned
15,0.6512.12157.54142,Baringo,Baringo North,Ward Unassigned,Unassigned
16,0.6512.12163.17520,Baringo,Baringo South,Ilchamus,Unassigned
17,0.6512.12163.17518,Baringo,Baringo South,Marigat,Unassigned
18,0.6512.12163.17522,Baringo,Baringo South,Mochongoi,Unassigned
19,0.6512.12163.17521,Baringo,Baringo South,Mukutan,Unassigned
20,0.6512.12163.53961,Baringo,Baringo South,Ward Unassigned,Unassigned
21,0.6512.59349.18420,Baringo,East Pokot ,Kollowa,Unassigned
22,0.6512.59349.18422,Baringo,East Pokot ,Ribkwo,Unassigned
23,0.6512.59349.18415,Baringo,East Pokot ,Tirioko,Unassigned
24,0.6512.12184.18329,Baringo,Eldama Ravine,Koibatek,Unassigned
25,0.6512.12184.18331,Baringo,Eldama Ravine,Lembus,Unassigned
26,0.6512.12184.18330,Baringo,Eldama Ravine,Lembus Kwen,Unassigned
27,0.6512.12184.18325,Baringo,Eldama Ravine,Lembus/perkerra,Unassigned
28,0.6512.12184.18324,Baringo,Eldama Ravine,Mumberes/maji Mazuri,Unassigned
29,0.6512.12184.18327,Baringo,Eldama Ravine,Ravine,Unassigned
30,0.6512.12184.53918,Baringo,Eldama Ravine,Ward Unassigned,Unassigned
31,0.6512.12191.17623,Baringo,Mogotio,Emining,Unassigned
32,0.6512.12191.17615,Baringo,Mogotio,Kisanana,Unassigned
33,0.6512.12191.17601,Baringo,Mogotio,Mogotio,Unassigned
34,0.6512.12191.54031,Baringo,Mogotio,Ward Unassigned,Unassigned
35,0.6512.12176.18430,Baringo,Tiaty East,Churo/amaya,Unassigned
36,0.6512.12176.18419,Baringo,Tiaty East,Loiyamorok,Unassigned
37,0.6512.12176.18421,Baringo,Tiaty East,Silale,Unassigned
38,0.6512.12176.18416,Baringo,Tiaty East,Tangulbei/korossi,Unassigned
39,0.6512.12176.53994,Baringo,Tiaty East,Ward Unassigned,Unassigned
40,0.6512.12168.17734,Baringo,Subcounty Unassigned,Ward Unassigned,Unassigned
41,0.5907.12041.17442,Bomet,Bomet Central,Chesoen,Unassigned
42,0.5907.12041.17452,Bomet,Bomet Central,Mutarakwa,Unassigned
43,0.5907.12041.17449,Bomet,Bomet Central,Ndaraweta,Unassigned
44,0.5907.12041.17448,Bomet,Bomet Central,Sigorwet,Unassigned
45,0.5907.12041.17446,Bomet,Bomet Central,Silibwet Township,Unassigned
46,0.5907.12047.18345,Bomet,Bomet East,Chemaner,Unassigned
47,0.5907.12047.60242,Bomet,Bomet East,Kembu,Chemaluk
48,0.5907.12047.18343,Bomet,Bomet East,Kembu,Unassigned
49,0.5907.12047.18341,Bomet,Bomet East,Kipreres,Unassigned
50,0.5907.12047.18339,Bomet,Bomet East,Longisa,Unassigned
51,0.5907.12047.18334,Bomet,Bomet East,Merigi,Unassigned
52,0.5907.12023.17537,Bomet,Chepalungu,Chebunyo,Unassigned
53,0.5907.12023.17535,Bomet,Chepalungu,Kongasis,Unassigned
54,0.5907.12023.17533,Bomet,Chepalungu,Nyangores,Unassigned
55,0.5907.12023.17528,Bomet,Chepalungu,Sigor,Unassigned
56,0.5907.12023.17527,Bomet,Chepalungu,Siongiroi,Unassigned
57,0.5907.12023.54001,Bomet,Chepalungu,Ward Unassigned,Unassigned
58,0.5907.12029.18478,Bomet,Konoin,Boito,Unassigned
59,0.5907.12029.18475,Bomet,Konoin,Chepchabas,Unassigned
60,0.5907.12029.18466,Bomet,Konoin,Embomos,Unassigned
61,0.5907.12029.18465,Bomet,Konoin,Kimulot,Unassigned
62,0.5907.12029.18464,Bomet,Konoin,Mogogosiek,Unassigned
63,0.5907.12029.54042,Bomet,Konoin,Ward Unassigned,Unassigned
64,0.5907.12035.17200,Bomet,Sotik,Chemagel,Unassigned
65,0.5907.12035.17193,Bomet,Sotik,Kapletundo,Unassigned
66,0.5907.12035.17191,Bomet,Sotik,Kipsonoi,Unassigned
67,0.5907.12035.17189,Bomet,Sotik,Ndanai/abosi,Kamegunyet West
68,0.5907.12035.57474,Bomet,Sotik,Ndanai/abosi,Ketero
69,0.5907.12035.57458,Bomet,Sotik,Ndanai/abosi,Soget
70,0.5907.12035.57537,Bomet,Sotik,Rongena/chebilat,Soget
71,0.5907.12035.17187,Bomet,Sotik,Rongena/chebilat,Unassigned
72,0.5907.12035.54076,Bomet,Sotik,Ward Unassigned,Unassigned
73,0.5907.12021.17491,Bomet,Subcounty Unassigned,Ward Unassigned,Unassigned
74,0.5671.11897.17558,Bungoma,Bumula,Bumula,Unassigned
75,0.5671.11897.17557,Bungoma,Bumula,Kabula,Unassigned
76,0.5671.11897.17560,Bungoma,Bumula,Khasoko,Unassigned
77,0.5671.11897.17559,Bungoma,Bumula,Kimaeti,Unassigned
78,0.5671.11897.17541,Bungoma,Bumula,Siboti,Unassigned
